,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
15132,G47_20180627_025600,G47,2018/06/27,02:56:00,G47_20180627_025600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15133,G47_20180627_031200,G47,2018/06/27,03:12:00,G47_20180627_031200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15134,G47_20180627_032800,G47,2018/06/27,03:28:00,G47_20180627_032800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15135,G47_20180627_034400,G47,2018/06/27,03:44:00,G47_20180627_034400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15136,G47_20180627_040000,G47,2018/06/27,04:00:00,G47_20180627_040000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15137,G47_20180627_041600,G47,2018/06/27,04:16:00,G47_20180627_041600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15138,G47_20180627_043200,G47,2018/06/27,04:32:00,G47_20180627_043200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15139,G47_20180627_044800,G47,2018/06/27,04:48:00,G47_20180627_044800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15140,G47_20180627_080000,G47,2018/06/27,08:00:00,G47_20180627_080000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15141,G47_20180627_081600,G47,2018/06/27,08:16:00,G47_20180627_081600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15142,G47_20180627_083200,G47,2018/06/27,08:32:00,G47_20180627_083200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15143,G47_20180627_084800,G47,2018/06/27,08:48:00,G47_20180627_084800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15144,G47_20180627_090400,G47,2018/06/27,09:04:00,G47_20180627_090400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15145,G47_20180627_092000,G47,2018/06/27,09:20:00,G47_20180627_092000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15146,G47_20180627_093600,G47,2018/06/27,09:36:00,G47_20180627_093600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15147,G47_20180627_095200,G47,2018/06/27,09:52:00,G47_20180627_095200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15148,G47_20180627_100800,G47,2018/06/27,10:08:00,G47_20180627_100800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15149,G47_20180627_102400,G47,2018/06/27,10:24:00,G47_20180627_102400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15150,G47_20180627_104000,G47,2018/06/27,10:40:00,G47_20180627_104000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15151,G47_20180627_105600,G47,2018/06/27,10:56:00,G47_20180627_105600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15152,G47_20180627_111200,G47,2018/06/27,11:12:00,G47_20180627_111200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15153,G47_20180627_112800,G47,2018/06/27,11:28:00,G47_20180627_112800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15154,G47_20180627_114400,G47,2018/06/27,11:44:00,G47_20180627_114400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15155,G47_20180627_120000,G47,2018/06/27,12:00:00,G47_20180627_120000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15156,G47_20180627_121600,G47,2018/06/27,12:16:00,G47_20180627_121600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15157,G47_20180627_123200,G47,2018/06/27,12:32:00,G47_20180627_123200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15158,G47_20180627_124800,G47,2018/06/27,12:48:00,G47_20180627_124800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15159,G47_20180627_130400,G47,2018/06/27,13:04:00,G47_20180627_130400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15160,G47_20180627_132000,G47,2018/06/27,13:20:00,G47_20180627_132000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15161,G47_20180627_133600,G47,2018/06/27,13:36:00,G47_20180627_133600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15162,G47_20180627_135200,G47,2018/06/27,13:52:00,G47_20180627_135200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15163,G47_20180627_140800,G47,2018/06/27,14:08:00,G47_20180627_140800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15164,G47_20180627_142400,G47,2018/06/27,14:24:00,G47_20180627_142400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15165,G47_20180627_144000,G47,2018/06/27,14:40:00,G47_20180627_144000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15166,G47_20180627_145600,G47,2018/06/27,14:56:00,G47_20180627_145600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15167,G47_20180627_151200,G47,2018/06/27,15:12:00,G47_20180627_151200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15168,G47_20180627_152800,G47,2018/06/27,15:28:00,G47_20180627_152800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15169,G47_20180627_154400,G47,2018/06/27,15:44:00,G47_20180627_154400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15170,G47_20180627_160000,G47,2018/06/27,16:00:00,G47_20180627_160000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15171,G47_20180627_161600,G47,2018/06/27,16:16:00,G47_20180627_161600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15172,G47_20180627_163200,G47,2018/06/27,16:32:00,G47_20180627_163200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15173,G47_20180627_164800,G47,2018/06/27,16:48:00,G47_20180627_164800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15174,G47_20180627_200000,G47,2018/06/27,20:00:00,G47_20180627_200000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15175,G47_20180627_201600,G47,2018/06/27,20:16:00,G47_20180627_201600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15176,G47_20180627_203200,G47,2018/06/27,20:32:00,G47_20180627_203200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,1,1,Light
15177,G47_20180627_204800,G47,2018/06/27,20:48:00,G47_20180627_204800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15178,G47_20180627_210400,G47,2018/06/27,21:04:00,G47_20180627_210400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15179,G47_20180627_212000,G47,2018/06/27,21:20:00,G47_20180627_212000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15180,G47_20180627_213600,G47,2018/06/27,21:36:00,G47_20180627_213600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15181,G47_20180627_215200,G47,2018/06/27,21:52:00,G47_20180627_215200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
